Purchase Type,Credit Score,Finance Type,State,PMA,Make,Lender Type,Amount Financed,2023 Vehicle Count,2024 Vehicle Count,2025 Vehicle Count
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CAPTIVE,"$15,000 - $19,999",2,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CAPTIVE,"$20,000 - $24,999",2,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CAPTIVE,"$25,000 - $29,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CAPTIVE,"$30,000 - $34,999",2,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CAPTIVE,"$40,000 - $44,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CREDIT UNION,"$0 - $4,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CREDIT UNION,"$5,000 - $9,999",0,0,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CREDIT UNION,"$10,000 - $14,999",2,2,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CREDIT UNION,"$15,000 - $19,999",1,1,3
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CREDIT UNION,"$20,000 - $24,999",1,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CREDIT UNION,"$25,000 - $29,999",2,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CREDIT UNION,"$30,000 - $34,999",1,2,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CREDIT UNION,"$35,000 - $39,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CREDIT UNION,"$40,000 - $44,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CREDIT UNION,"$45,000 - $49,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,CREDIT UNION,"$50,000 - $59,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,INDEPENDENT,"$0 - $4,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,INDEPENDENT,"$5,000 - $9,999",2,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,INDEPENDENT,"$10,000 - $14,999",6,4,4
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,INDEPENDENT,"$15,000 - $19,999",8,7,4
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,INDEPENDENT,"$20,000 - $24,999",1,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,INDEPENDENT,"$25,000 - $29,999",0,0,3
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,INDEPENDENT,"$35,000 - $39,999",0,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,INDEPENDENT,"$40,000 - $44,999",1,0,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,INDEPENDENT,"$50,000 - $59,999",1,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,INDEPENDENT,"$60,000 - $69,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,UNKNOWN,"$5,000 - $9,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,UNKNOWN,"$10,000 - $14,999",1,2,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,UNKNOWN,"$15,000 - $19,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,UNKNOWN,"$20,000 - $24,999",1,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FORD,UNKNOWN,"$25,000 - $29,999",0,0,3
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,FREIGHTLINER,UNKNOWN,"$20,000 - $24,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,BANK,"$0 - $4,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,BANK,"$5,000 - $9,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,BANK,"$10,000 - $14,999",0,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,BANK,"$15,000 - $19,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,BANK,"$20,000 - $24,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,BANK,"$35,000 - $39,999",0,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,BANK,"$40,000 - $44,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,BANK,"$45,000 - $49,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,CAPTIVE,"$20,000 - $24,999",1,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,CAPTIVE,"$25,000 - $29,999",0,2,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,CAPTIVE,"$30,000 - $34,999",0,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,CAPTIVE,"$40,000 - $44,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,CAPTIVE,"$50,000 - $59,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,CREDIT UNION,"$0 - $4,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,CREDIT UNION,"$15,000 - $19,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,CREDIT UNION,"$20,000 - $24,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,CREDIT UNION,"$25,000 - $29,999",1,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,CREDIT UNION,"$30,000 - $34,999",1,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,INDEPENDENT,"$5,000 - $9,999",1,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,INDEPENDENT,"$10,000 - $14,999",1,2,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,INDEPENDENT,"$15,000 - $19,999",1,0,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,INDEPENDENT,"$30,000 - $34,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,INDEPENDENT,"$35,000 - $39,999",0,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,INDEPENDENT,"$50,000 - $59,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,UNKNOWN,"$5,000 - $9,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,UNKNOWN,"$10,000 - $14,999",0,0,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,GMC,UNKNOWN,"$20,000 - $24,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,BANK,"$10,000 - $14,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,BANK,"$20,000 - $24,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,BANK,"$25,000 - $29,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,BANK,"$40,000 - $44,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,CAPTIVE,"$10,000 - $14,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,CAPTIVE,"$15,000 - $19,999",0,1,3
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,CAPTIVE,"$20,000 - $24,999",1,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,CAPTIVE,"$30,000 - $34,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,CREDIT UNION,"$0 - $4,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,CREDIT UNION,"$5,000 - $9,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,CREDIT UNION,"$10,000 - $14,999",1,2,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,CREDIT UNION,"$20,000 - $24,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,CREDIT UNION,"$25,000 - $29,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,CREDIT UNION,"$30,000 - $34,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,INDEPENDENT,"$10,000 - $14,999",2,3,4
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,INDEPENDENT,"$15,000 - $19,999",2,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,INDEPENDENT,"$25,000 - $29,999",0,1,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,UNKNOWN,"$0 - $4,999",0,2,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HONDA,UNKNOWN,"$40,000 - $44,999",0,0,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HUMMER,BANK,"$15,000 - $19,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HUMMER,CREDIT UNION,"$5,000 - $9,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HUMMER,INDEPENDENT,"$10,000 - $14,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HYUNDAI,BANK,"$15,000 - $19,999",1,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HYUNDAI,BANK,"$20,000 - $24,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HYUNDAI,CAPTIVE,"$20,000 - $24,999",1,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HYUNDAI,CREDIT UNION,"$5,000 - $9,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HYUNDAI,CREDIT UNION,"$10,000 - $14,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HYUNDAI,CREDIT UNION,"$15,000 - $19,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HYUNDAI,CREDIT UNION,"$35,000 - $39,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HYUNDAI,INDEPENDENT,"$5,000 - $9,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HYUNDAI,INDEPENDENT,"$10,000 - $14,999",5,4,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HYUNDAI,INDEPENDENT,"$15,000 - $19,999",0,4,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HYUNDAI,INDEPENDENT,"$20,000 - $24,999",1,2,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HYUNDAI,INDEPENDENT,"$25,000 - $29,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HYUNDAI,INDEPENDENT,"$30,000 - $34,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,HYUNDAI,UNKNOWN,"$10,000 - $14,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,BANK,"$5,000 - $9,999",1,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,BANK,"$10,000 - $14,999",1,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,BANK,"$15,000 - $19,999",2,1,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,BANK,"$20,000 - $24,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,BANK,"$25,000 - $29,999",2,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,BANK,"$30,000 - $34,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,CAPTIVE,"$10,000 - $14,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,CAPTIVE,"$15,000 - $19,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,CAPTIVE,"$20,000 - $24,999",1,1,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,CAPTIVE,"$25,000 - $29,999",1,2,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,CAPTIVE,"$30,000 - $34,999",0,3,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,CAPTIVE,"$40,000 - $44,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,CREDIT UNION,"$5,000 - $9,999",0,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,CREDIT UNION,"$10,000 - $14,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,CREDIT UNION,"$15,000 - $19,999",0,0,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,CREDIT UNION,"$20,000 - $24,999",4,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,CREDIT UNION,"$25,000 - $29,999",1,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,CREDIT UNION,"$30,000 - $34,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,CREDIT UNION,"$35,000 - $39,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,INDEPENDENT,"$5,000 - $9,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,INDEPENDENT,"$10,000 - $14,999",2,2,4
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,INDEPENDENT,"$15,000 - $19,999",3,2,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,INDEPENDENT,"$20,000 - $24,999",0,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,INDEPENDENT,"$25,000 - $29,999",1,1,3
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,INDEPENDENT,"$30,000 - $34,999",1,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,INDEPENDENT,"$35,000 - $39,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,INDEPENDENT,"$40,000 - $44,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,UNKNOWN,"$15,000 - $19,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,UNKNOWN,"$30,000 - $34,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,JEEP,UNKNOWN,"$45,000 - $49,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,KIA,BANK,"$15,000 - $19,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,KIA,BANK,"$20,000 - $24,999",1,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,KIA,BANK,"$25,000 - $29,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,KIA,CAPTIVE,"$10,000 - $14,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,KIA,CAPTIVE,"$20,000 - $24,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,KIA,CREDIT UNION,"$10,000 - $14,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,KIA,CREDIT UNION,"$15,000 - $19,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,KIA,INDEPENDENT,"$10,000 - $14,999",2,1,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,KIA,INDEPENDENT,"$15,000 - $19,999",1,3,5
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,KIA,INDEPENDENT,"$20,000 - $24,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,LAND ROVER,BANK,"$5,000 - $9,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,LAND ROVER,BANK,"$35,000 - $39,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,LAND ROVER,CREDIT UNION,"$5,000 - $9,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,LAND ROVER,UNKNOWN,"$20,000 - $24,999",1,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,LEXUS,CAPTIVE,"$15,000 - $19,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,LEXUS,CREDIT UNION,"$5,000 - $9,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,LEXUS,INDEPENDENT,"$15,000 - $19,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,LINCOLN,CREDIT UNION,"$35,000 - $39,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,LINCOLN,INDEPENDENT,"$5,000 - $9,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MAZDA,CAPTIVE,"$5,000 - $9,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MAZDA,CREDIT UNION,"$10,000 - $14,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MAZDA,INDEPENDENT,"$10,000 - $14,999",1,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MAZDA,INDEPENDENT,"$15,000 - $19,999",0,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MAZDA,INDEPENDENT,"$20,000 - $24,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MAZDA,INDEPENDENT,"$25,000 - $29,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MERCEDES-BENZ,BANK,"$10,000 - $14,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MERCEDES-BENZ,BANK,"$25,000 - $29,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MERCEDES-BENZ,INDEPENDENT,"$10,000 - $14,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MERCEDES-BENZ,INDEPENDENT,"$15,000 - $19,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MERCURY,INDEPENDENT,"$10,000 - $14,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MINI,BANK,"$10,000 - $14,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MINI,BANK,"$20,000 - $24,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MINI,CAPTIVE,"$5,000 - $9,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MINI,CAPTIVE,"$15,000 - $19,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MINI,INDEPENDENT,"$5,000 - $9,999",1,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MINI,INDEPENDENT,"$25,000 - $29,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MITSUBISHI,BANK,"$20,000 - $24,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MITSUBISHI,CAPTIVE,"$15,000 - $19,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MITSUBISHI,CREDIT UNION,"$0 - $4,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MITSUBISHI,INDEPENDENT,"$10,000 - $14,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,MITSUBISHI,INDEPENDENT,"$15,000 - $19,999",1,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,BANK,"$5,000 - $9,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,BANK,"$10,000 - $14,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,BANK,"$15,000 - $19,999",2,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,BANK,"$35,000 - $39,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,CAPTIVE,"$10,000 - $14,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,CAPTIVE,"$20,000 - $24,999",1,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,CAPTIVE,"$25,000 - $29,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,CAPTIVE,"$30,000 - $34,999",1,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,CREDIT UNION,"$0 - $4,999",2,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,CREDIT UNION,"$5,000 - $9,999",0,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,CREDIT UNION,"$20,000 - $24,999",2,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,CREDIT UNION,"$25,000 - $29,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,INDEPENDENT,"$5,000 - $9,999",1,2,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,INDEPENDENT,"$10,000 - $14,999",3,2,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,INDEPENDENT,"$15,000 - $19,999",0,3,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,INDEPENDENT,"$20,000 - $24,999",4,3,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,INDEPENDENT,"$25,000 - $29,999",1,1,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,INDEPENDENT,"$30,000 - $34,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,UNKNOWN,"$10,000 - $14,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,NISSAN,UNKNOWN,"$25,000 - $29,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,PONTIAC,INDEPENDENT,"$10,000 - $14,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,PORSCHE,INDEPENDENT,"$5,000 - $9,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,PORSCHE,INDEPENDENT,"$50,000 - $59,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,BANK,"$15,000 - $19,999",0,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,BANK,"$20,000 - $24,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,BANK,"$25,000 - $29,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,BANK,"$30,000 - $34,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,BANK,"$40,000 - $44,999",1,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,BANK,"$45,000 - $49,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,CAPTIVE,"$20,000 - $24,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,CAPTIVE,"$25,000 - $29,999",1,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,CAPTIVE,"$30,000 - $34,999",0,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,CREDIT UNION,"$5,000 - $9,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,CREDIT UNION,"$10,000 - $14,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,CREDIT UNION,"$15,000 - $19,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,CREDIT UNION,"$20,000 - $24,999",1,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,CREDIT UNION,"$30,000 - $34,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,CREDIT UNION,"$35,000 - $39,999",1,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,CREDIT UNION,"$40,000 - $44,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,CREDIT UNION,"$45,000 - $49,999",0,1,2
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,CREDIT UNION,"$50,000 - $59,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,INDEPENDENT,"$15,000 - $19,999",1,5,4
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,INDEPENDENT,"$20,000 - $24,999",1,0,5
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,INDEPENDENT,"$25,000 - $29,999",0,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,INDEPENDENT,"$30,000 - $34,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,RAM,INDEPENDENT,"$40,000 - $44,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SATURN,INDEPENDENT,"$10,000 - $14,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SCION,CAPTIVE,"$5,000 - $9,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SUBARU,BANK,"$0 - $4,999",1,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SUBARU,BANK,"$5,000 - $9,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SUBARU,BANK,"$10,000 - $14,999",1,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SUBARU,BANK,"$15,000 - $19,999",1,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SUBARU,BANK,"$20,000 - $24,999",1,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SUBARU,BANK,"$25,000 - $29,999",1,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SUBARU,CAPTIVE,"$20,000 - $24,999",4,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SUBARU,CAPTIVE,"$25,000 - $29,999",2,0,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SUBARU,CAPTIVE,"$35,000 - $39,999",1,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SUBARU,CREDIT UNION,"$0 - $4,999",0,1,0
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SUBARU,CREDIT UNION,"$5,000 - $9,999",1,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SUBARU,CREDIT UNION,"$10,000 - $14,999",0,1,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SUBARU,CREDIT UNION,"$15,000 - $19,999",0,0,1
USED,300 - 600,LOAN,MONTANA,0001 - Kalispell,SUBARU,CREDIT UNION,"$35,000 - $39,999",0,1,0
